date YYYY_MM_DD,Month,Day,Hours,Weekly_Total,PayPeriod_Total,Monthly_Total
2025_10_12,October,Sunday,5,5,66,66
2025_10_13,October,Monday,7,12,73,73
2025_10_14,October,Tuesday,7,19,80,80
2025_10_15,October,Wednesday,0,19,80,80
,,,,,,
2025_10_16,October,Thursday,7,26,7,87
2025_10_17,October,Friday,7,33,14,94
2025_10_18,October,Saturday,0,33,14,94
2025_10_19,October,Sunday,5,5,19,99
2025_10_20,October,Monday,7,12,26,106
2025_10_21,October,Tuesday,7,19,33,113
2025_10_22,October,Wednesday,7,26,40,120
2025_10_23,October,Thursday,7,33,47,127
2025_10_24,October,Friday,7,40,54,134
2025_10_25,October,Saturday,0,40,54,134
2025_10_26,October,Sunday,5,5,59,139
2025_10_27,October,Monday,7,12,66,146
2025_10_28,October,Tuesday,7,19,73,153
2025_10_29,October,Wednesday,7,26,80,160
2025_10_30,October,Thursday,0,26,80,160
2025_10_31,October,Friday,0,26,80,160
,,,,,,
2025_11_01,November,Saturday,0,26,0,0
2025_11_02,November,Sunday,5,5,5,5
2025_11_03,November,Monday,7,12,12,12
2025_11_04,November,Tuesday,7,19,19,19
2025_11_05,November,Wednesday,7,26,26,26
2025_11_06,November,Thursday,7,33,33,33
2025_11_07,November,Friday,7,40,40,40
2025_11_08,November,Saturday,0,40,40,40
2025_11_09,November,Sunday,5,5,45,45
2025_11_10,November,Monday,7,12,52,52
2025_11_11,November,Tuesday,7,19,59,59
2025_11_12,November,Wednesday,7,26,66,66
2025_11_13,November,Thursday,7,33,73,73
2025_11_14,November,Friday,7,40,80,80
2025_11_15,November,Saturday,0,40,80,80
,,,,,,
2025_11_16,November,Sunday,5,5,5,85
2025_11_17,November,Monday,7,12,12,92
2025_11_18,November,Tuesday,7,19,19,99
2025_11_19,November,Wednesday,7,26,26,106
2025_11_20,November,Thursday,7,33,33,113
2025_11_21,November,Friday,7,40,40,120
2025_11_22,November,Saturday,0,40,40,120
2025_11_23,November,Sunday,5,5,45,125
2025_11_24,November,Monday,7,12,52,132
2025_11_25,November,Tuesday,7,19,59,139
2025_11_26,November,Wednesday,7,26,66,146
2025_11_27,November,Thursday,7,33,73,153
2025_11_28,November,Friday,7,40,80,160
2025_11_29,November,Saturday,0,40,80,160
2025_11_30,November,Sunday,0,0,80,160
,,,,,,
2025_12_01,December,Monday,7,7,7,7
2025_12_02,December,Tuesday,7,14,14,14
2025_12_03,December,Wednesday,7,21,21,21
2025_12_04,December,Thursday,7,28,28,28
2025_12_05,December,Friday,7,35,35,35
2025_12_06,December,Saturday,0,35,35,35
2025_12_07,December,Sunday,5,5,40,40
2025_12_08,December,Monday,7,12,47,47
2025_12_09,December,Tuesday,7,19,54,54
2025_12_10,December,Wednesday,7,26,61,61
2025_12_11,December,Thursday,7,33,68,68
2025_12_12,December,Friday,7,40,75,75
2025_12_13,December,Saturday,0,40,75,75
2025_12_14,December,Sunday,5,5,80,80
2025_12_15,December,Monday,0,5,80,80
,,,,,,
2025_12_16,December,Tuesday,7,12,7,87
2025_12_17,December,Wednesday,7,19,14,94
2025_12_18,December,Thursday,7,26,21,101
2025_12_19,December,Friday,7,33,28,108
2025_12_20,December,Saturday,0,33,28,108
2025_12_21,December,Sunday,5,5,33,113
2025_12_22,December,Monday,7,12,40,120
2025_12_23,December,Tuesday,7,19,47,127
2025_12_24,December,Wednesday,7,26,54,134
2025_12_25,December,Thursday,7,33,61,141
2025_12_26,December,Friday,7,40,68,148
2025_12_27,December,Saturday,0,40,68,148
2025_12_28,December,Sunday,5,5,73,153
2025_12_29,December,Monday,7,12,80,160
2025_12_30,December,Tuesday,0,12,80,160
2025_12_31,December,Wednesday,0,12,80,160
,,,,,,
2026_01_01,January,Thursday,7,19,7,7
2026_01_02,January,Friday,7,26,14,14
2026_01_03,January,Saturday,0,26,14,14
2026_01_04,January,Sunday,5,5,19,19
2026_01_05,January,Monday,7,12,26,26
2026_01_06,January,Tuesday,7,19,33,33
2026_01_07,January,Wednesday,7,26,40,40
2026_01_08,January,Thursday,7,33,47,47
2026_01_09,January,Friday,7,40,54,54
2026_01_10,January,Saturday,0,40,54,54
2026_01_11,January,Sunday,5,5,59,59
2026_01_12,January,Monday,7,12,66,66
2026_01_13,January,Tuesday,7,19,73,73
2026_01_14,January,Wednesday,7,26,80,80
2026_01_15,January,Thursday,0,26,80,80
,,,,,,
2026_01_16,January,Friday,7,33,7,87
2026_01_17,January,Saturday,0,33,7,87
2026_01_18,January,Sunday,5,5,12,92
2026_01_19,January,Monday,7,12,19,99
2026_01_20,January,Tuesday,7,19,26,106
2026_01_21,January,Wednesday,7,26,33,113
2026_01_22,January,Thursday,7,33,40,120
2026_01_23,January,Friday,7,40,47,127
2026_01_24,January,Saturday,0,40,47,127
2026_01_25,January,Sunday,5,5,52,132
2026_01_26,January,Monday,7,12,59,139
2026_01_27,January,Tuesday,7,19,66,146
2026_01_28,January,Wednesday,7,26,73,153
2026_01_29,January,Thursday,7,33,80,160
2026_01_30,January,Friday,0,33,80,160
2026_01_31,January,Saturday,0,33,80,160
,,,,,,
2026_02_01,February,Sunday,5,5,5,5
2026_02_02,February,Monday,7,12,12,12
2026_02_03,February,Tuesday,7,19,19,19
2026_02_04,February,Wednesday,7,26,26,26
2026_02_05,February,Thursday,7,33,33,33
2026_02_06,February,Friday,7,40,40,40
2026_02_07,February,Saturday,0,40,40,40
2026_02_08,February,Sunday,5,5,45,45
2026_02_09,February,Monday,7,12,52,52
2026_02_10,February,Tuesday,7,19,59,59
2026_02_11,February,Wednesday,7,26,66,66
2026_02_12,February,Thursday,7,33,73,73
2026_02_13,February,Friday,7,40,80,80
2026_02_14,February,Saturday,0,40,80,80
2026_02_15,February,Sunday,0,0,80,80
,,,,,,
2026_02_16,February,Monday,7,7,7,87
2026_02_17,February,Tuesday,7,14,14,94
2026_02_18,February,Wednesday,7,21,21,101
2026_02_19,February,Thursday,7,28,28,108
2026_02_20,February,Friday,7,35,35,115
2026_02_21,February,Saturday,0,35,35,115
2026_02_22,February,Sunday,5,5,40,120
2026_02_23,February,Monday,7,12,47,127
2026_02_24,February,Tuesday,7,19,54,134
2026_02_25,February,Wednesday,7,26,61,141
2026_02_26,February,Thursday,7,33,68,148
2026_02_27,February,Friday,7,40,75,155
2026_02_28,February,Saturday,0,40,75,155
,,,,,,
2026_03_01,March,Sunday,5,5,5,5
2026_03_02,March,Monday,7,12,12,12
2026_03_03,March,Tuesday,7,19,19,19
2026_03_04,March,Wednesday,7,26,26,26
2026_03_05,March,Thursday,7,33,33,33
2026_03_06,March,Friday,7,40,40,40
2026_03_07,March,Saturday,0,40,40,40
2026_03_08,March,Sunday,5,5,45,45
2026_03_09,March,Monday,7,12,52,52
2026_03_10,March,Tuesday,7,19,59,59
2026_03_11,March,Wednesday,7,26,66,66
2026_03_12,March,Thursday,7,33,73,73
2026_03_13,March,Friday,7,40,80,80
2026_03_14,March,Saturday,0,40,80,80
2026_03_15,March,Sunday,0,0,80,80
,,,,,,
2026_03_16,March,Monday,7,7,7,87
2026_03_17,March,Tuesday,7,14,14,94
2026_03_18,March,Wednesday,7,21,21,101
2026_03_19,March,Thursday,7,28,28,108
2026_03_20,March,Friday,7,35,35,115
2026_03_21,March,Saturday,0,35,35,115
2026_03_22,March,Sunday,5,5,40,120
2026_03_23,March,Monday,7,12,47,127
2026_03_24,March,Tuesday,7,19,54,134
2026_03_25,March,Wednesday,7,26,61,141
2026_03_26,March,Thursday,7,33,68,148
2026_03_27,March,Friday,7,40,75,155
2026_03_28,March,Saturday,0,40,75,155
2026_03_29,March,Sunday,5,5,80,160
2026_03_30,March,Monday,0,5,80,160
2026_03_31,March,Tuesday,0,5,80,160
,,,,,,
2026_04_01,April,Wednesday,7,12,7,7
2026_04_02,April,Thursday,7,19,14,14
2026_04_03,April,Friday,7,26,21,21
2026_04_04,April,Saturday,0,26,21,21
2026_04_05,April,Sunday,5,5,26,26
2026_04_06,April,Monday,7,12,33,33
2026_04_07,April,Tuesday,7,19,40,40
2026_04_08,April,Wednesday,7,26,47,47
2026_04_09,April,Thursday,7,33,54,54
2026_04_10,April,Friday,7,40,61,61
2026_04_11,April,Saturday,0,40,61,61
2026_04_12,April,Sunday,5,5,66,66
2026_04_13,April,Monday,7,12,73,73
2026_04_14,April,Tuesday,7,19,80,80
2026_04_15,April,Wednesday,0,19,80,80
,,,,,,
2026_04_16,April,Thursday,7,26,7,87
2026_04_17,April,Friday,7,33,14,94
2026_04_18,April,Saturday,0,33,14,94
2026_04_19,April,Sunday,5,5,19,99
2026_04_20,April,Monday,7,12,26,106
2026_04_21,April,Tuesday,7,19,33,113
2026_04_22,April,Wednesday,7,26,40,120
2026_04_23,April,Thursday,7,33,47,127
2026_04_24,April,Friday,7,40,54,134
2026_04_25,April,Saturday,0,40,54,134
2026_04_26,April,Sunday,5,5,59,139
2026_04_27,April,Monday,7,12,66,146
2026_04_28,April,Tuesday,7,19,73,153
2026_04_29,April,Wednesday,7,26,80,160
2026_04_30,April,Thursday,0,26,80,160
,,,,,,
2026_05_01,May,Friday,7,33,7,7
2026_05_02,May,Saturday,0,33,7,7
2026_05_03,May,Sunday,5,5,12,12
2026_05_04,May,Monday,7,12,19,19
2026_05_05,May,Tuesday,7,19,26,26
2026_05_06,May,Wednesday,7,26,33,33
2026_05_07,May,Thursday,7,33,40,40
2026_05_08,May,Friday,7,40,47,47
2026_05_09,May,Saturday,0,40,47,47
2026_05_10,May,Sunday,5,5,52,52
2026_05_11,May,Monday,7,12,59,59
2026_05_12,May,Tuesday,7,19,66,66
2026_05_13,May,Wednesday,7,26,73,73
2026_05_14,May,Thursday,7,33,80,80
2026_05_15,May,Friday,0,33,80,80
,,,,,,
2026_05_16,May,Saturday,0,33,0,80
2026_05_17,May,Sunday,5,5,5,85
2026_05_18,May,Monday,7,12,12,92
2026_05_19,May,Tuesday,7,19,19,99
2026_05_20,May,Wednesday,7,26,26,106
2026_05_21,May,Thursday,7,33,33,113
2026_05_22,May,Friday,7,40,40,120
2026_05_23,May,Saturday,0,40,40,120
2026_05_24,May,Sunday,5,5,45,125
2026_05_25,May,Monday,7,12,52,132
2026_05_26,May,Tuesday,7,19,59,139
2026_05_27,May,Wednesday,7,26,66,146
2026_05_28,May,Thursday,7,33,73,153
2026_05_29,May,Friday,7,40,80,160
2026_05_30,May,Saturday,0,40,80,160
2026_05_31,May,Sunday,0,0,80,160
,,,,,,
2026_06_01,June,Monday,7,7,7,7
2026_06_02,June,Tuesday,7,14,14,14
2026_06_03,June,Wednesday,7,21,21,21
2026_06_04,June,Thursday,7,28,28,28
2026_06_05,June,Friday,7,35,35,35
2026_06_06,June,Saturday,0,35,35,35
2026_06_07,June,Sunday,5,5,40,40
2026_06_08,June,Monday,7,12,47,47
2026_06_09,June,Tuesday,7,19,54,54
2026_06_10,June,Wednesday,7,26,61,61
2026_06_11,June,Thursday,7,33,68,68
2026_06_12,June,Friday,7,40,75,75
2026_06_13,June,Saturday,0,40,75,75
2026_06_14,June,Sunday,5,5,80,80
2026_06_15,June,Monday,0,5,80,80
,,,,,,
2026_06_16,June,Tuesday,7,12,7,87
2026_06_17,June,Wednesday,7,19,14,94
2026_06_18,June,Thursday,7,26,21,101
2026_06_19,June,Friday,7,33,28,108
2026_06_20,June,Saturday,0,33,28,108
2026_06_21,June,Sunday,5,5,33,113
2026_06_22,June,Monday,7,12,40,120
2026_06_23,June,Tuesday,7,19,47,127
2026_06_24,June,Wednesday,7,26,54,134
2026_06_25,June,Thursday,7,33,61,141
2026_06_26,June,Friday,7,40,68,148
2026_06_27,June,Saturday,0,40,68,148
2026_06_28,June,Sunday,5,5,73,153
2026_06_29,June,Monday,7,12,80,160
2026_06_30,June,Tuesday,0,12,80,160
,,,,,,
2026_07_01,July,Wednesday,7,19,7,7
2026_07_02,July,Thursday,7,26,14,14
2026_07_03,July,Friday,7,33,21,21
2026_07_04,July,Saturday,0,33,21,21
2026_07_05,July,Sunday,5,5,26,26
2026_07_06,July,Monday,7,12,33,33
2026_07_07,July,Tuesday,7,19,40,40
2026_07_08,July,Wednesday,7,26,47,47
2026_07_09,July,Thursday,7,33,54,54
2026_07_10,July,Friday,7,40,61,61
2026_07_11,July,Saturday,0,40,61,61
2026_07_12,July,Sunday,5,5,66,66
2026_07_13,July,Monday,7,12,73,73
2026_07_14,July,Tuesday,7,19,80,80
2026_07_15,July,Wednesday,0,19,80,80
,,,,,,
2026_07_16,July,Thursday,7,26,7,87
2026_07_17,July,Friday,7,33,14,94
2026_07_18,July,Saturday,0,33,14,94
2026_07_19,July,Sunday,5,5,19,99
2026_07_20,July,Monday,7,12,26,106
2026_07_21,July,Tuesday,7,19,33,113
2026_07_22,July,Wednesday,7,26,40,120
2026_07_23,July,Thursday,7,33,47,127
2026_07_24,July,Friday,7,40,54,134
2026_07_25,July,Saturday,0,40,54,134
2026_07_26,July,Sunday,5,5,59,139
2026_07_27,July,Monday,7,12,66,146
2026_07_28,July,Tuesday,7,19,73,153
2026_07_29,July,Wednesday,7,26,80,160
2026_07_30,July,Thursday,0,26,80,160
2026_07_31,July,Friday,0,26,80,160
,,,,,,
2026_08_01,August,Saturday,0,26,0,0
2026_08_02,August,Sunday,5,5,5,5
2026_08_03,August,Monday,7,12,12,12
2026_08_04,August,Tuesday,7,19,19,19
2026_08_05,August,Wednesday,7,26,26,26
2026_08_06,August,Thursday,7,33,33,33
2026_08_07,August,Friday,7,40,40,40
2026_08_08,August,Saturday,0,40,40,40
2026_08_09,August,Sunday,5,5,45,45
2026_08_10,August,Monday,7,12,52,52
2026_08_11,August,Tuesday,7,19,59,59
2026_08_12,August,Wednesday,7,26,66,66
2026_08_13,August,Thursday,7,33,73,73
2026_08_14,August,Friday,7,40,80,80
2026_08_15,August,Saturday,0,40,80,80
,,,,,,
2026_08_16,August,Sunday,5,5,5,85
2026_08_17,August,Monday,7,12,12,92
2026_08_18,August,Tuesday,7,19,19,99
2026_08_19,August,Wednesday,7,26,26,106
2026_08_20,August,Thursday,7,33,33,113
2026_08_21,August,Friday,7,40,40,120
2026_08_22,August,Saturday,0,40,40,120
2026_08_23,August,Sunday,5,5,45,125
2026_08_24,August,Monday,7,12,52,132
2026_08_25,August,Tuesday,7,19,59,139
2026_08_26,August,Wednesday,7,26,66,146
2026_08_27,August,Thursday,7,33,73,153
2026_08_28,August,Friday,7,40,80,160
2026_08_29,August,Saturday,0,40,80,160
2026_08_30,August,Sunday,0,0,80,160
2026_08_31,August,Monday,0,0,80,160
,,,,,,
2026_09_01,September,Tuesday,7,7,7,7
2026_09_02,September,Wednesday,7,14,14,14
2026_09_03,September,Thursday,7,21,21,21
2026_09_04,September,Friday,7,28,28,28
2026_09_05,September,Saturday,0,28,28,28
2026_09_06,September,Sunday,5,5,33,33
2026_09_07,September,Monday,7,12,40,40
2026_09_08,September,Tuesday,7,19,47,47
2026_09_09,September,Wednesday,7,26,54,54
2026_09_10,September,Thursday,7,33,61,61
2026_09_11,September,Friday,7,40,68,68
2026_09_12,September,Saturday,0,40,68,68
2026_09_13,September,Sunday,5,5,73,73
2026_09_14,September,Monday,7,12,80,80
2026_09_15,September,Tuesday,0,12,80,80
,,,,,,
2026_09_16,September,Wednesday,7,19,7,87
2026_09_17,September,Thursday,7,26,14,94
2026_09_18,September,Friday,7,33,21,101
2026_09_19,September,Saturday,0,33,21,101
2026_09_20,September,Sunday,5,5,26,106
2026_09_21,September,Monday,7,12,33,113
2026_09_22,September,Tuesday,7,19,40,120
2026_09_23,September,Wednesday,7,26,47,127
2026_09_24,September,Thursday,7,33,54,134
2026_09_25,September,Friday,7,40,61,141
2026_09_26,September,Saturday,0,40,61,141
2026_09_27,September,Sunday,5,5,66,146
2026_09_28,September,Monday,7,12,73,153
2026_09_29,September,Tuesday,7,19,80,160
2026_09_30,September,Wednesday,0,19,80,160
,,,,,,
2026_10_01,October,Thursday,7,26,7,7
2026_10_02,October,Friday,7,33,14,14
2026_10_03,October,Saturday,0,33,14,14
2026_10_04,October,Sunday,5,5,19,19
2026_10_05,October,Monday,7,12,26,26
2026_10_06,October,Tuesday,7,19,33,33
2026_10_07,October,Wednesday,7,26,40,40
2026_10_08,October,Thursday,7,33,47,47
2026_10_09,October,Friday,7,40,54,54
2026_10_10,October,Saturday,0,40,54,54
2026_10_11,October,Sunday,5,5,59,59
2026_10_12,October,Monday,7,12,66,66
2026_10_13,October,Tuesday,7,19,73,73
2026_10_14,October,Wednesday,7,26,80,80
2026_10_15,October,Thursday,0,26,80,80
,,,,,,
2026_10_16,October,Friday,7,33,7,87
2026_10_17,October,Saturday,0,33,7,87
2026_10_18,October,Sunday,5,5,12,92
2026_10_19,October,Monday,7,12,19,99
2026_10_20,October,Tuesday,7,19,26,106
2026_10_21,October,Wednesday,7,26,33,113
2026_10_22,October,Thursday,7,33,40,120
2026_10_23,October,Friday,7,40,47,127
2026_10_24,October,Saturday,0,40,47,127
2026_10_25,October,Sunday,5,5,52,132
2026_10_26,October,Monday,7,12,59,139
2026_10_27,October,Tuesday,7,19,66,146
2026_10_28,October,Wednesday,7,26,73,153
2026_10_29,October,Thursday,7,33,80,160
2026_10_30,October,Friday,0,33,80,160
2026_10_31,October,Saturday,0,33,80,160
,,,,,,
2026_11_01,November,Sunday,5,5,5,5
2026_11_02,November,Monday,7,12,12,12
2026_11_03,November,Tuesday,7,19,19,19
2026_11_04,November,Wednesday,7,26,26,26
2026_11_05,November,Thursday,7,33,33,33
2026_11_06,November,Friday,7,40,40,40
2026_11_07,November,Saturday,0,40,40,40
2026_11_08,November,Sunday,5,5,45,45
2026_11_09,November,Monday,7,12,52,52
2026_11_10,November,Tuesday,7,19,59,59
2026_11_11,November,Wednesday,7,26,66,66
2026_11_12,November,Thursday,7,33,73,73
2026_11_13,November,Friday,7,40,80,80
2026_11_14,November,Saturday,0,40,80,80
2026_11_15,November,Sunday,0,0,80,80
,,,,,,
2026_11_16,November,Monday,7,7,7,87
2026_11_17,November,Tuesday,7,14,14,94
2026_11_18,November,Wednesday,7,21,21,101
2026_11_19,November,Thursday,7,28,28,108
2026_11_20,November,Friday,7,35,35,115
2026_11_21,November,Saturday,0,35,35,115
2026_11_22,November,Sunday,5,5,40,120
2026_11_23,November,Monday,7,12,47,127
2026_11_24,November,Tuesday,7,19,54,134
2026_11_25,November,Wednesday,7,26,61,141
2026_11_26,November,Thursday,7,33,68,148
2026_11_27,November,Friday,7,40,75,155
2026_11_28,November,Saturday,0,40,75,155
2026_11_29,November,Sunday,5,5,80,160
2026_11_30,November,Monday,0,5,80,160
,,,,,,
2026_12_01,December,Tuesday,7,12,7,7
2026_12_02,December,Wednesday,7,19,14,14
2026_12_03,December,Thursday,7,26,21,21
2026_12_04,December,Friday,7,33,28,28
2026_12_05,December,Saturday,0,33,28,28
2026_12_06,December,Sunday,5,5,33,33
2026_12_07,December,Monday,7,12,40,40
2026_12_08,December,Tuesday,7,19,47,47
2026_12_09,December,Wednesday,7,26,54,54
2026_12_10,December,Thursday,7,33,61,61
2026_12_11,December,Friday,7,40,68,68
2026_12_12,December,Saturday,0,40,68,68
2026_12_13,December,Sunday,5,5,73,73
2026_12_14,December,Monday,7,12,80,80
2026_12_15,December,Tuesday,0,12,80,80
,,,,,,
2026_12_16,December,Wednesday,7,19,7,87
2026_12_17,December,Thursday,7,26,14,94
2026_12_18,December,Friday,7,33,21,101
2026_12_19,December,Saturday,0,33,21,101
2026_12_20,December,Sunday,5,5,26,106
2026_12_21,December,Monday,7,12,33,113
2026_12_22,December,Tuesday,7,19,40,120
2026_12_23,December,Wednesday,7,26,47,127
2026_12_24,December,Thursday,7,33,54,134
2026_12_25,December,Friday,7,40,61,141
2026_12_26,December,Saturday,0,40,61,141
2026_12_27,December,Sunday,5,5,66,146
2026_12_28,December,Monday,7,12,73,153
2026_12_29,December,Tuesday,7,19,80,160
2026_12_30,December,Wednesday,0,19,80,160
2026_12_31,December,Thursday,0,19,80,160
,,,,,,
